onset	duration	run_number	trial_number	trial_type	fixation_location	pursuit_amplitude	pursuit_angle	image_id
162135.1597	6.0101556	2	1	1	13.0			
162141.1866	1.1919281	2	2	2	20.0			
162142.3869	1.1920239	2	3	2	15.0			
162143.5873	1.1920908	2	4	2	16.0			
162144.7961	1.1919946	2	5	2	1.0			
162146.0049	1.1919193	2	6	2	10.0			
162147.2054	1.19189	2	7	2	24.0			
162148.4057	1.19193	2	8	2	25.0			
162149.606	1.19204	2	9	2	17.0			
162150.8065	1.1919925	2	10	2	13.0			
162152.0068	1.191925	2	11	2	16.0			
162153.2072	1.1920685	2	12	2	4.0			
162154.4077	1.1919309	2	13	2	9.0			
162155.608	1.1920078	2	14	2	2.0			
162156.8084	1.192082	2	15	2	25.0			
162158.0087	1.1920204	2	16	2	20.0			
162159.2093	1.1920485	2	17	2	22.0			
162160.4097	1.1919226	2	18	2	19.0			
162161.61	1.1919933	2	19	2	8.0			
162162.8103	1.1921401	2	20	2	3.0			
162164.0108	1.1920322	2	21	2	6.0			
162165.2112	1.1921309	2	22	2	7.0			
162166.4116	1.1920206	2	23	2	9.0			
162167.6119	1.1921848	2	24	2	10.0			
162168.8124	1.1920029	2	25	2	8.0			
162170.0128	1.1920194	2	26	2	19.0			
162171.2134	1.1917569	2	27	2	4.0			
162172.4136	1.1919467	2	28	2	21.0			
162173.614	1.1919609	2	29	2	5.0			
162174.8144	1.1920041	2	30	2	23.0			
162176.0148	1.1919555	2	31	2	7.0			
162177.2151	1.1921366	2	32	2	6.0			
162178.4156	1.1919595	2	33	2	1.0			
162179.6161	1.1918806	2	34	2	18.0			
162180.8163	1.1920584	2	35	2	13.0			
162182.0167	1.1921266	2	36	2	12.0			
162183.2172	1.1920072	2	37	2	3.0			
162184.4176	1.1921627	2	38	2	24.0			
162185.618	1.1919866	2	39	2	23.0			
162186.8184	1.1920456	2	40	2	2.0			
162188.0188	1.1919933	2	41	2	17.0			
162189.2191	1.19201	2	42	2	15.0			
162190.4195	1.1920493	2	43	2	22.0			
162191.62	1.1919435	2	44	2	5.0			
162192.8204	1.1919651	2	45	2	11.0			
162194.0206	1.1920938	2	46	2	21.0			
162195.2212	1.1919936	2	47	2	12.0			
162196.4214	1.1921209	2	48	2	14.0			
162197.622	1.1920936	2	49	2	18.0			
162198.8224	1.192026	2	50	2	14.0			
162200.0228	1.191958	2	51	2	11.0			
162201.2232	5.9935376	2	52	1	13.0			
162207.2335	1.1919996	2	53	3		3.0	1.0	
162208.4421	1.1920889	2	54	3		1.0	9.0	
162209.6426	1.1919962	2	55	3		2.0	16.0	
162210.843	1.1919999	2	56	3		1.0	15.0	
162212.0517	1.192083	2	57	3		1.0	6.0	
162213.2521	1.1921161	2	58	3		1.0	10.0	
162214.4526	1.1918844	2	59	3		3.0	8.0	
162215.6528	1.1922456	2	60	3		2.0	10.0	
162216.8533	1.1921308	2	61	3		2.0	15.0	
162218.0538	1.1918537	2	62	3		3.0	17.0	
162219.2542	1.1919516	2	63	3		2.0	2.0	
162220.4545	1.1919581	2	64	3		3.0	10.0	
162221.655	1.1918933	2	65	3		2.0	11.0	
162222.8552	1.192167	2	66	3		1.0	4.0	
162224.0557	1.1920238	2	67	3		1.0	8.0	
162225.256	1.1920502	2	68	3		1.0	14.0	
162226.4565	1.1920477	2	69	3		1.0	3.0	
162227.657	1.1919741	2	70	3		2.0	6.0	
162228.8572	1.1920285	2	71	3		3.0	14.0	
162230.0577	1.1919774	2	72	3		3.0	3.0	
162231.2581	1.1920024	2	73	3		3.0	5.0	
162232.4586	1.1919042	2	74	3		1.0	13.0	
162233.6589	1.1919642	2	75	3		2.0	2.0	
162234.8593	1.1919804	2	76	3		2.0	14.0	
162236.0597	1.1921323	2	77	3		1.0	2.0	
162237.26	1.1920484	2	78	3		1.0	12.0	
162238.4606	1.1918566	2	79	3		1.0	10.0	
162239.6609	1.192	2	80	3		2.0	4.0	
162240.8613	1.1920842	2	81	3		2.0	18.0	
162242.0617	1.1920186	2	82	3		3.0	15.0	
162243.2621	1.1919582	2	83	3		3.0	6.0	
162244.4624	1.1921442	2	84	3		2.0	9.0	
162245.6629	1.1920036	2	85	3		1.0	7.0	
162246.8632	1.1920648	2	86	3		1.0	5.0	
162248.0636	1.1919431	2	87	3		2.0	17.0	
162249.2641	1.1922028	2	88	3		2.0	7.0	
162250.4645	1.192023	2	89	3		3.0	11.0	
162251.6649	1.1919549	2	90	3		1.0	18.0	
162252.8653	1.1920285	2	91	3		2.0	3.0	
162254.0656	1.1920193	2	92	3		3.0	11.0	
162255.2661	1.1920193	2	93	3		1.0	11.0	
162256.4665	1.1919173	2	94	3		1.0	17.0	
162257.6669	1.1920998	2	95	3		3.0	14.0	
162258.8672	1.1920043	2	96	3		3.0	17.0	
162260.0677	1.1919962	2	97	3		3.0	3.0	
162261.2681	1.2002861	2	98	3		3.0	6.0	
162262.4767	1.1920919	2	99	3		3.0	2.0	
162263.6771	1.1920132	2	100	3		2.0	10.0	
162264.8775	1.1920754	2	101	3		2.0	1.0	
162266.078	1.1919921	2	102	3		3.0	9.0	
162267.2784	1.1919206	2	103	3		2.0	12.0	
162268.4788	1.1919679	2	104	3		2.0	15.0	
162269.6792	1.1921287	2	105	3		1.0	16.0	
162270.8796	1.1920514	2	106	3		3.0	13.0	
162272.0802	5.99341	2	107	1	13.0			
162278.0903	3.592734	2	108	4				2.0
162281.7083	3.5926688	2	109	4				3.0
162285.326	3.5927809	2	110	4				1.0
162288.9439	3.5927615	2	111	4				7.0
162292.5617	3.5928103	2	112	4				4.0
162296.1796	3.5928268	2	113	4				5.0
162299.7975	3.5927705	2	114	4				10.0
162303.4154	3.5928212	2	115	4				8.0
162307.0332	3.5928808	2	116	4				6.0
162310.6511	3.5927891	2	117	4				9.0
162314.2524	5.9934392	2	118	1	13.0			
